City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Acapulco de Juárez,MX,16.8634,-99.8901,85.82,74,75,8.05
Labuhan,ID,-6.8844,112.2051,77.29,82,96,5.06
Bredasdorp,ZA,-34.5322,20.0403,54.72,71,99,5.75
Chokurdakh,RU,70.6333,147.9167,58.95,49,3,9.73
Lorengau,PG,-2.0226,147.2712,79.52,83,95,8.72
Saint-Philippe,RE,-21.3585,55.7679,69.39,67,99,13.38
Batticaloa,LK,7.7102,81.6924,81.07,77,16,3.4
Hilo,US,19.7297,-155.09,81.28,64,20,0.0
Japura,ID,-0.3167,102.35,72.88,89,90,2.08
Makakilo City,US,21.3469,-158.0858,81.61,61,1,6.91
Bathsheba,BB,13.2167,-59.5167,86.61,62,40,24.16
Juba,SS,4.8517,31.5825,70.7,84,27,1.03
Rabo de Peixe,PT,37.8,-25.5833,67.51,64,40,14.97
Hithadhoo,MV,-0.6,73.0833,83.19,73,100,11.1
Provideniya,RU,64.3833,-173.3,59.11,63,0,4.47
Sistranda,NO,63.7256,8.834,60.76,89,100,17.02
Arraial do Cabo,BR,-22.9661,-42.0278,84.16,61,0,5.75
Kenai,US,60.5544,-151.2583,58.03,79,90,16.11
The Pas,CA,53.8251,-101.2541,51.82,62,90,19.57
Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,16.11
Cape Town,ZA,-33.9258,18.4232,73.11,30,0,5.75
Arlit,NE,18.7369,7.3853,95.79,11,5,6.91
Talnakh,RU,69.4865,88.3972,43.54,98,100,5.59
Mariental,NA,-24.6333,17.9667,57.25,39,0,12.75
Houma,US,29.5958,-90.7195,87.8,79,75,11.5
Cortez,US,37.3489,-108.5859,93.52,15,1,12.66
Berbera,SO,10.4396,45.0143,92.07,43,28,13.78
Yenagoa,NG,4.9247,6.2642,75.24,94,100,6.24
Ukiah,US,39.1502,-123.2078,102.43,22,1,9.22
Hong Kong,HK,22.2855,114.1577,87.33,87,100,5.01
Bethel,US,41.3712,-73.414,88.48,61,1,8.05
Grass Valley,US,39.2191,-121.0611,100.06,20,1,5.01
Juan de Ayolas,PY,-27.4,-56.9,64.36,65,89,4.92
Kampot,KH,10.6167,104.1833,84.25,86,54,8.16
Contamana,PE,-7.3333,-75.0167,81.27,86,41,1.83
San Patricio,US,28.017,-97.5169,92.01,53,96,18.57
Keningau,MY,5.3378,116.1602,73.85,99,100,1.34
Shelburne,CA,44.0787,-80.2041,81.73,39,49,9.75
Tupelo,US,34.2576,-88.7034,93.49,50,20,10.0
Vaini,TO,-21.2,-175.2,66.36,94,40,0.0
Iqaluit,CA,63.7506,-68.5145,37.13,81,75,15.01
Fort Nelson,CA,58.8053,-122.7002,72.99,40,40,4.61
Mount Isa,AU,-20.7333,139.5,53.37,40,0,6.91
Vilyuysk,RU,63.7553,121.6247,69.6,64,79,2.73
Mackay,AU,-21.15,149.2,54.05,87,0,5.75
West Wendover,US,40.7391,-114.0733,90.61,14,1,10.36
Nome,US,64.5011,-165.4064,67.15,58,1,6.91
Constitución,CL,-35.3333,-72.4167,55.51,64,100,9.24
Airai,TL,-8.9266,125.4092,55.53,92,34,3.27
Susa,IR,32.1942,48.2436,96.89,9,0,15.41
Quimper,FR,48.0,-4.1,61.38,100,90,3.44
Ahipara,NZ,-35.1667,173.1667,57.96,85,59,18.68
Inta,RU,66.0317,60.1659,43.77,80,100,7.36
Baykit,RU,61.67,96.37,60.1,74,34,3.18
Bowen,AU,-20.0167,148.2333,44.82,72,3,6.49
Dunedin,NZ,-45.8742,170.5036,42.8,89,37,1.01
Anloga,GH,5.7947,0.8973,78.94,84,100,15.1
Mersing,MY,2.4312,103.8405,73.31,94,99,4.61
Chui,UY,-33.6971,-53.4616,52.02,79,49,7.38
Cabo San Lucas,MX,22.8909,-109.9124,96.51,68,40,17.27
São Filipe,CV,14.8961,-24.4956,72.37,78,1,12.1
Trincomalee,LK,8.5711,81.2335,79.52,79,12,13.73
Nainpur,IN,22.4333,80.1167,78.62,76,71,3.69
Ankang,CN,32.68,109.0172,66.97,68,98,0.89
Antas,PT,41.7364,-8.3089,55.67,98,100,8.16
Sambava,MG,-14.2667,50.1667,71.55,83,39,16.15
Hövelhof,DE,51.8167,8.65,73.71,71,100,5.48
Omsukchan,RU,62.5333,155.8,46.47,60,100,6.55
Moses Lake,US,47.1301,-119.2781,84.29,28,1,4.61
Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,50,0,4.61
Praia,CV,14.9215,-23.5087,75.74,64,20,21.85
Maragogi,BR,-9.0122,-35.2225,77.85,81,12,6.17
Ichchāpuram,IN,19.1167,84.7,85.32,63,100,4.45
Zabaykal'sk,RU,49.6333,117.3167,52.02,93,39,5.57
Pisco,PE,-13.7,-76.2167,66.25,77,90,16.11
Nakambala,ZM,-15.8324,27.7799,56.77,55,1,6.67
Barrow,US,71.2906,-156.7887,35.62,87,90,11.5
Río Gallegos,AR,-51.6226,-69.2181,42.85,70,0,17.27
Denpasar,ID,-8.65,115.2167,78.46,94,20,4.61
Tasiilaq,GL,65.6145,-37.6368,42.96,62,100,6.22
Luang Prabang,LA,19.8856,102.1347,74.59,90,12,2.13
Norman Wells,CA,65.282,-126.8329,69.84,40,75,11.5
Datong,CN,40.0936,113.2914,68.61,39,82,2.37
Yar-Sale,RU,66.8333,70.8333,39.07,62,89,16.42
Katsuura,JP,35.1333,140.3,72.19,81,74,7.49
Mapastepec,MX,15.4333,-92.9,84.38,72,100,4.05
Cullman,US,34.1748,-86.8436,89.71,63,40,1.01
Kahului,US,20.8947,-156.47,79.86,72,20,13.8
Hūn,LY,29.1268,15.9477,88.88,19,0,8.97
Buraidah,SA,26.326,43.975,97.25,9,0,10.02
Dingle,PH,10.9995,122.6711,76.41,89,100,5.93
Lebu,CL,-37.6167,-73.65,53.49,73,100,15.64
Monroe,US,43.1501,-77.6831,85.41,63,75,4.61
Qaanaaq,GL,77.484,-69.3632,39.36,58,10,2.62
Guozhen,CN,34.3659,107.359,70.83,50,76,3.78
Ormond Beach,US,29.2858,-81.0559,91.54,55,90,9.22
Xixiang,CN,35.1628,112.865,78.46,34,14,3.18
Sitka,US,57.0531,-135.33,57.09,82,90,6.91
Coihueco,CL,-36.6167,-71.8333,52.54,66,40,9.22
Pevek,RU,69.7008,170.3133,44.1,72,15,4.79
Isangel,VU,-19.55,169.2667,75.02,79,100,5.03
Bourail,NC,-21.5667,165.4833,65.95,77,92,2.57
Olinda,BR,-8.0089,-34.8553,76.73,73,75,4.61
Mwense,ZM,-10.3845,28.698,62.37,45,8,5.57
Chara,RU,56.9064,118.2631,55.33,76,40,0.87
Methóni,GR,36.8197,21.7049,69.66,84,0,10.18
Umluj,SA,25.0213,37.2685,85.14,47,0,8.7
Tonj,SS,7.2737,28.6822,70.74,92,100,3.09
Charters Towers,AU,-20.1,146.2667,51.37,65,0,3.31
North Bend,US,43.4065,-124.2243,76.91,79,20,25.32
Guerrero Negro,MX,27.9769,-114.0611,73.65,60,10,11.79
Mar del Plata,AR,-38.0023,-57.5575,56.12,61,0,5.01
Rawson,AR,-43.3002,-65.1023,50.34,43,17,9.75
Prince Rupert,CA,54.3161,-130.3201,60.49,82,1,5.75
Ponta do Sol,PT,32.6667,-17.1,72.72,76,52,5.59
Te Anau,NZ,-45.4167,167.7167,37.15,96,59,2.21
Port Elizabeth,ZA,-33.918,25.5701,74.1,33,20,9.22
Rome,US,43.2128,-75.4557,84.4,51,20,4.61
Iskateley,RU,67.6803,53.1512,50.58,69,100,8.61
Avera,US,33.194,-82.5271,78.46,95,100,15.61
Ribeira Brava,PT,32.65,-17.0667,72.72,78,47,4.07
Verkhoyansk,RU,67.5447,133.385,72.34,41,100,5.55
Ust-Nera,RU,64.5667,143.2,65.97,53,6,5.61
Namatanai,PG,-3.6667,152.4333,78.33,82,62,9.17
Porto Murtinho,BR,-21.6989,-57.8825,65.44,57,100,0.98
Fairbanks,US,64.8378,-147.7164,68.09,56,40,1.01
Esso,RU,55.9333,158.7,41.49,92,100,2.04
San Jerónimo,PE,-11.9472,-75.2829,60.89,48,79,9.08
Kviteseid,NO,59.4022,8.4927,59.11,98,100,3.15
Katherine,AU,-14.4667,132.2667,52.12,66,42,6.91
Henties Bay,NA,-22.116,14.2845,74.86,40,0,7.09
Yarkovo,RU,57.4028,67.0786,47.37,95,100,14.56
Andros Town,BS,24.7,-77.7667,87.76,66,98,17.31
Kupang,ID,-10.1667,123.5833,74.52,82,10,9.73
Nikolskoye,RU,59.7035,30.7861,78.69,68,0,3.44
Zhangaözen,KZ,43.3,52.8,79.36,18,5,13.56
Casper,US,42.8666,-106.3131,72.19,33,20,13.8
Province of Trapani,IT,37.8333,12.6667,82.58,39,0,11.5
Saint-Pierre,RE,-21.3393,55.4781,69.48,73,90,11.5
San Ramon,US,37.7799,-121.978,93.07,38,1,7.0
Whitehorse,CA,60.7161,-135.0538,62.02,48,90,11.99
Puerto Madryn,AR,-42.7692,-65.0385,50.32,51,40,11.39
Yaan,NG,7.3833,8.5667,76.75,87,8,5.97
Nelson Bay,AU,-32.7167,152.15,55.0,95,55,11.14
Kapit,MY,2.0167,112.9333,72.36,99,100,1.59
Tateyama,JP,34.9833,139.8667,73.15,83,99,11.36
Vila Franca do Campo,PT,37.7167,-25.4333,68.41,71,2,9.71
Horadiz,AZ,39.4488,47.3353,75.97,57,0,5.68
Faanui,PF,-16.4833,-151.75,79.99,72,8,4.61
Kristinehamn,SE,59.3098,14.1081,68.58,97,60,2.64
Yumen,CN,40.2833,97.2,71.69,20,3,8.68
Myaundzha,RU,63.0494,147.1858,54.64,78,75,1.3
San Carlos,VE,9.6612,-68.5827,88.95,52,71,4.27
Ambon City,ID,-3.6954,128.1814,75.34,100,75,5.75
San Remigio,PH,11.0809,123.9381,79.77,81,100,5.91
Sankt Florian,AT,48.2057,14.3784,83.86,58,100,8.05
Caldas Novas,BR,-17.7417,-48.625,79.92,32,98,6.6
Piura,PE,-5.2,-80.6333,82.45,49,99,12.73
Erdenet,MN,49.0333,104.0833,54.5,74,33,1.9
Coyhaique,CL,-45.5752,-72.0662,47.01,66,75,3.44
Pangai,TO,-19.8,-174.35,69.91,94,20,0.0
Cap Malheureux,MU,-19.9842,57.6142,72.09,74,69,8.01
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,66,75,8.95
Sovetskiy,RU,61.3614,63.5842,45.68,64,29,11.56
Santa Marinella,IT,42.0345,11.8536,81.1,60,87,10.4
Kamenka,RU,51.3223,42.7678,65.07,74,73,9.06
Ust-Maya,RU,60.4167,134.5333,64.08,67,72,1.74
Jonesboro,US,35.8423,-90.7043,94.03,46,100,16.53
Klyuchi,RU,52.2667,79.1667,56.39,82,100,19.44
Codrington,AU,-38.2667,141.9667,41.74,91,0,6.96
Bambous Virieux,MU,-20.3428,57.7575,71.85,68,40,18.41
Salalah,OM,17.0151,54.0924,80.69,89,90,5.75
Kruisfontein,ZA,-34.0033,24.7314,71.89,31,8,8.55
Baker City,US,44.7749,-117.8344,80.15,32,1,19.57
Pāsighāt,IN,28.0667,95.3333,76.55,98,99,2.24
Dikson,RU,73.5069,80.5464,32.0,84,0,5.03
Taksimo,RU,56.3444,114.8794,53.76,88,37,0.45
Egvekinot,RU,66.3167,-179.1667,56.05,44,100,6.02
Westport,US,41.1415,-73.3579,90.05,53,1,3.0
Khuzhir,RU,53.1939,107.3397,47.07,84,65,9.06
Moorhead,US,46.8739,-96.7676,60.98,88,90,5.01
Kurchum,KZ,48.5722,83.6542,50.4,61,8,7.7
Porto-Novo,BJ,6.4965,2.6036,78.62,89,100,10.07
Ryomgård,DK,56.3843,10.503,62.6,79,75,11.01
Klaksvík,FO,62.2266,-6.589,47.32,77,53,4.47
Kashgar,CN,39.4547,75.9797,72.61,20,20,15.66
Bago,MM,17.3367,96.4797,78.93,91,32,4.7
Buala,SB,-8.145,159.5921,79.47,79,96,4.45
Lebedinyy,RU,58.5167,125.5167,62.76,76,78,0.72
Kisangani,CD,0.5167,25.2,74.05,81,87,3.38
Ambilobe,MG,-13.2,49.05,68.43,75,13,5.5
Yelovo,RU,57.0538,54.9207,54.14,60,4,4.05
Hasaki,JP,35.7333,140.8333,63.28,84,100,10.36
Shihezi,CN,44.3,86.0333,63.64,36,100,6.69
Antalaha,MG,-14.9003,50.2788,70.14,86,42,12.39
Vardø,NO,70.3705,31.1107,49.75,93,75,5.75
Hue,VN,16.4667,107.6,86.11,62,20,4.61
Jalu,LY,29.0331,21.5482,84.07,28,0,10.36
Alzamay,RU,55.5562,98.6644,58.42,86,95,1.43
Winslow,US,35.0242,-110.6974,100.58,10,1,5.01
Slave Lake,CA,55.2834,-114.769,62.53,34,2,5.86
Ilhabela,BR,-23.7781,-45.3581,67.08,88,81,12.35
Racine,US,42.7495,-88.0751,80.11,79,100,4.61
Hamilton,US,39.1834,-84.5333,89.04,65,75,1.01
Vulcan,RO,45.3833,23.2667,57.36,89,41,2.28
Torbay,CA,47.6666,-52.7314,59.29,95,90,16.11
Nemuro,JP,43.3236,145.575,47.48,96,100,20.15
Boleč,RS,44.7247,20.6033,76.62,22,0,4.12
Aktas,KZ,49.7789,72.9608,55.15,95,84,15.14
Leshukonskoye,RU,64.8989,45.7622,52.74,66,100,10.22
Grindavik,IS,63.8424,-22.4338,49.95,71,40,14.97
Dilla,ET,6.41,38.31,60.8,93,100,2.89
Benidorm,ES,38.5382,-0.131,80.24,72,0,8.88
Pandan,PH,14.0453,124.1694,81.09,83,100,7.76
Tuatapere,NZ,-46.1333,167.6833,39.38,95,33,3.67
Rocha,UY,-34.4833,-54.3333,49.3,76,6,4.94
Marawi,PH,7.9986,124.2928,69.66,91,100,3.8
Umm Kaddadah,SD,13.6017,26.6876,90.09,32,66,16.78
Edd,ER,13.9297,41.6925,88.21,69,100,2.89
Nāthdwāra,IN,24.9333,73.8167,76.32,73,100,8.43
Nokaneng,BW,-19.6667,22.2667,60.24,42,42,8.08
Hailar,CN,49.2,119.7,51.62,93,95,6.11
Luena,AO,-11.7833,19.9167,55.81,56,92,3.42
Latung,PH,5.5,120.8833,82.83,71,100,2.91
Flin Flon,CA,54.7682,-101.865,51.64,58,75,14.97
George Town,MY,5.4112,100.3354,79.9,87,40,1.01
Sarh,TD,9.1429,18.3923,76.91,83,20,0.0
Nanortalik,GL,60.1432,-45.2371,42.71,97,100,3.15
Dali,CN,25.7,100.1833,63.63,91,39,4.94
Palmer,US,42.1584,-72.3287,89.28,48,0,1.01
Carballo,ES,43.213,-8.691,60.49,92,100,11.83
Aklavik,CA,68.2191,-135.0107,74.12,67,75,4.61
Santiago del Estero,AR,-27.7951,-64.2615,65.71,37,43,10.78
Saskylakh,RU,71.9167,114.0833,75.43,40,13,5.57
Saint-Augustin,CA,51.226,-58.6502,51.69,98,100,6.78
Srednekolymsk,RU,67.45,153.6833,61.11,47,7,16.46
Merauke,ID,-8.4667,140.3333,77.09,82,100,13.22
Mali,GN,12.079,-12.2982,71.2,51,100,4.45
Harper,LR,4.375,-7.7169,76.71,87,98,10.07
Kurumkan,RU,54.3,110.3,56.5,78,72,2.35
Hobyo,SO,5.3505,48.5268,76.82,83,100,27.74
Conde,BR,-7.2597,-34.9075,81.86,74,20,8.05
Chernushka,RU,56.5072,56.0766,51.82,64,6,5.12
Caucayá,CO,-0.1934,-74.7819,75.16,88,99,2.77
Perundurai,IN,11.2667,77.5833,77.18,74,100,11.41
Cuamba,MZ,-14.8031,36.5372,64.4,82,100,5.26
Saint George,US,37.1041,-113.5841,109.63,11,1,3.0
Lompoc,US,34.6391,-120.4579,94.69,64,1,10.36
Narsaq,GL,60.9167,-46.05,48.42,95,100,2.62
Coruripe,BR,-10.1256,-36.1756,76.55,85,1,7.94
Chokwé,MZ,-24.5333,32.9833,61.57,88,6,4.52
Toropets,RU,56.4978,31.6353,72.97,71,88,4.14
Palāsa,IN,18.7667,84.4167,83.82,65,100,4.92
Massaguet,TD,12.4755,15.4365,93.24,37,25,3.85
Diré,ML,12.2833,-10.9667,82.51,61,100,0.67
Evensk,RU,61.95,159.2333,52.09,59,15,1.63
Belmonte,BR,-15.8631,-38.8828,78.8,73,21,5.41
Bosaso,SO,11.2842,49.1816,93.24,41,42,13.67
Half Moon Bay,US,37.4636,-122.4286,92.59,65,90,1.01
Kruglolesskoye,RU,44.6589,42.8142,69.89,58,42,9.04
Pocerski Pričinović,RS,44.7222,19.7072,76.95,59,8,5.01
Brae,GB,60.3964,-1.353,51.71,75,100,3.42
Nioro,GM,13.35,-15.75,84.27,52,22,14.52
Qiqihar,CN,47.3408,123.9672,57.88,89,98,5.5
Port Lincoln,AU,-34.7333,135.8667,51.35,71,60,10.38
Morro Bay,US,35.3658,-120.8499,100.38,57,21,8.01
Shirokiy,RU,49.758,129.523,54.46,76,91,3.83
Xunchang,CN,28.4543,104.715,71.83,80,100,1.25
Jistebnice,CZ,49.4855,14.5276,78.73,78,81,8.88
Makkah al Mukarramah,SA,21.4267,39.8261,90.82,24,16,5.19
Charlottesville,US,38.0293,-78.4767,90.93,65,40,5.01
Leningradskiy,RU,69.3833,178.4167,43.23,80,26,8.75
Hambantota,LK,6.1241,81.1185,78.73,82,28,15.03
Khovd,MN,48.0056,91.6419,62.55,42,19,13.53
Äänekoski,FI,62.6946,25.818,77.07,74,57,3.13
Bambanglipuro,ID,-7.95,110.2833,58.6,88,100,2.57
Pavlodar,KZ,52.3,76.95,55.2,94,90,13.42
Paphos,CY,34.7667,32.4167,73.18,83,75,0.0
Mount Gambier,AU,-37.8333,140.7667,33.71,100,0,4.61
Richards Bay,ZA,-28.783,32.0377,65.21,73,0,10.56
Mazagão,BR,-0.115,-51.2894,91.45,67,21,5.01
Astoria,US,46.1879,-123.8313,80.1,73,1,1.99
Rojhan,PK,28.6868,69.9534,97.11,34,41,6.49
Lingao,CN,19.9103,109.6859,83.01,66,100,9.66
Mehrān,IR,33.1222,46.1646,90.88,11,0,10.49
Villa María,AR,-32.4075,-63.2402,58.82,62,82,11.74
Liberal,US,37.0431,-100.921,101.43,22,1,14.97
Yārāda,IN,17.65,83.2667,82.72,83,75,2.3
Mayumba,GA,-3.432,10.6554,74.61,86,14,7.81
La Tuque,CA,47.4334,-72.7824,79.05,44,51,4.61
La Ronge,CA,55.1001,-105.2842,52.05,46,75,12.66
Flinders,AU,-34.5833,150.8552,54.18,87,99,1.99
Fortuna,US,40.5982,-124.1573,70.93,68,1,1.99
Shakawe,BW,-18.3667,21.85,63.77,34,93,10.04
Meulaboh,ID,4.1363,96.1285,74.75,86,99,4.32
Cape Coast,GH,5.1053,-1.2466,77.04,88,100,12.53
Berlevåg,NO,70.8578,29.0864,49.8,87,20,10.36
Tiarei,PF,-17.5333,-149.3333,78.82,78,30,8.81
Borzoy,RU,42.8415,45.6275,62.83,47,0,8.12
Hofn,IS,64.2539,-15.2082,46.54,74,11,5.06
Vanimo,PG,-2.6741,141.3028,76.93,89,91,4.38
Sabang,ID,5.8933,95.3214,82.92,72,100,18.9
Ribeira Grande,PT,38.5167,-28.7,72.0,56,20,17.27
San Michele al Tagliamento,IT,45.7644,12.9949,80.67,69,16,3.4
Mossamedes,AO,-15.1961,12.1522,67.24,84,0,8.1
Bonavista,CA,48.6499,-53.1147,60.8,98,100,15.01
Storm Lake,US,42.6411,-95.2097,81.36,69,1,14.97
Krasnoborsk,RU,61.5598,45.934,60.42,88,68,6.64
Thinadhoo,MV,0.5333,72.9333,83.52,70,65,13.87
Foumban,CM,5.7291,10.9001,64.09,93,70,3.24
Cerro Largo,BR,-28.1486,-54.7381,56.75,82,81,5.48
Tessalit,ML,20.1986,1.0114,96.96,11,71,2.55
Morgan City,US,29.6994,-91.2068,84.2,79,90,14.97
Emba,KZ,48.8264,58.1442,75.31,56,29,10.2
Antequera,ES,37.0194,-4.5612,74.7,72,19,7.83
Havre-St-Pierre,CA,50.2334,-63.5986,62.96,82,20,12.66
Morden,CA,49.1919,-98.1014,66.58,42,99,17.27
Maromitsa,RU,59.8683,48.0123,61.5,73,79,8.16
Esperance,AU,-33.8667,121.9,51.64,79,100,9.31
Outjo,NA,-20.1167,16.15,58.19,38,0,8.84
Rundu,NA,-17.9333,19.7667,58.12,39,1,7.94
Atar,MR,20.5169,-13.0499,93.43,13,2,11.16
Ordynskoye,RU,54.3656,81.8994,48.81,75,73,13.31
Katobu,ID,-4.9408,122.5276,72.39,97,99,2.91
Ormara,PK,25.2088,64.6357,83.37,79,100,9.22
Ust-Kuyga,RU,70.0167,135.6,73.65,37,100,2.68
Songjianghe,CN,42.1859,127.479,48.42,96,66,2.08
Batī,ET,11.1833,40.0167,75.83,28,73,8.3
Touros,BR,-5.1989,-35.4608,83.3,72,89,11.54
Lata,PT,40.1629,-8.3327,62.92,81,100,7.54
Korbous,TN,36.8167,10.5687,84.24,51,100,13.8
Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,9.22
Dehlorān,IR,32.6941,47.2679,95.04,11,0,6.93
Port Angeles,US,48.1181,-123.4307,78.91,55,1,0.0
Bama,NG,11.5221,13.6856,85.53,53,96,9.04
Zhoucheng,CN,35.9122,116.3117,75.45,51,81,5.79
Nur,PL,52.6683,22.3221,68.43,91,14,11.56
Littleton,US,39.6133,-105.0166,89.8,36,20,3.0
Mihăileni,RO,47.9667,26.15,68.88,95,99,3.29
Najrān,SA,17.4924,44.1277,84.85,11,48,3.22
